Unnamed: 0,star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color,distance_type,log_diameter,B-V,star_temp
0,Sol,0.0,0.0,1.0,V,-26.72,+4.85,1,"B-V= +0.65, U-B= +0.10",20,0.0,0.65,5775.91
1,Alpha and Proxima Centauri,4.395,1.347,1.227,V,+0.01,+4.36,1.567,"B-V= +0.64, U-B= +0.23, R-I= +0.22",20,0.08884456272700426,0.64,5804.4
2,Barnard's Star,5.941,1.821,0.197,V,+9.54,+13.24,0.000441,"B-V= +1.74, U-B= +1.29, R-I= +1.25",20,-0.705533773838407,1.74,3901.24
3,Wolf 359,7.797,2.391,0.13,V,+13.45,+16.56,0.0000207,"B-V= +2.00, U-B= +1.21, R-I= +1.84",20,-0.8860566476931632,2.0,3647.54
4,Lalande 21185,8.312,2.548,0.393,V,+7.50,+10.46,0.00568,"B-V= +1.51, U-B= +1.12, R-I= +0.92",20,-0.40560744962457324,1.51,4166.24
5,Sirius,8.601,2.637,2.03,V,-1.43,+1.46,22.61,"B-V= +0.00, U-B= -0.04, R-I= -0.11",20,0.30749603791321284,0.0,8908.56
6,UV Ceti,8.554,2.623,0.15,V,+12.57,+15.48,0.0000561,,20,-0.8239087409443187,1.0,4958.1
8,Bonner Durchmusterung +33°4828,120.0,37.0,2.1,V,+6.11,+3.28,4.2,B-V= +0.62,140,0.32221929473391925,0.62,5862.44
10,Cordoba Durchmusterung -37°15492,14.22,4.361,0.48,V,+8.56,+10.36,0.00625,B-V= +1.46,20,-0.3187587626244128,1.46,4229.99
12,Cape Photographic Durchmusterung -68°3597,52.2,16.0,0.7,V,+8.49,+7.47,0.090,B-V= +1.06,60,-0.1549019599857432,1.06,4845.41
13,Bonner Durchmusterung +28°4704,44.7,13.7,1.06,V,+6.10,+5.42,0.59,B-V= +0.75,60,0.025305865264770258,0.75,5509.06
14,Giclas 158-27,15.3,4.7,0.11,V,+13.75,+15.39,0.000061,B-V= +1.98,20,-0.9586073148417749,1.98,3665.6
15,Cordoba Durchmusterung -24°8,106.0,32.5,0.78,V,+8.69,+6.13,0.31,B-V= +0.80,120,-0.10790539730951958,0.8,5386.77
16,Bonner Durchmusterung +35°8,108.0,33.0,1.5,IV,+6.17,+3.57,3.24,B-V= +0.49,120,0.17609125905568124,0.49,6278.54
17,Beta Cassiopeiae,54.46,16.7,3.589,III-IV,+2.27 (increasing to +2.22),+1.15 (increasing to +1.10),30.07 (increasing to  31.49),B-V= +0.34,60,0.5549734583332397,0.34,6863.1
18,Epsilon Phoenicis,140.0,43.0,12.9,III,+3.88,+0.71,45.3,B-V= +1.03,160,1.1105897102992488,1.03,4900.95
19,6 Ceti,61.6,18.9,1.5,V,+4.89,+3.51,3.43,B-V= +0.49,80,0.17609125905568124,0.49,6278.54
20,Cape Photographic Durchmusterung -59°8,192.0,58.8,0.77,V?,+8.34,+4.50,1.39,B-V= +0.62,200,-0.11350927482751812,0.62,5862.44
21,Theta Sculptoris,71.1,21.8,1.02,V,+5.24,+3.55,3.32,B-V= +0.44,80,0.008600171761917567,0.44,6459.23
28,Bonner Durchmusterung -14°42,85.3,26.2,0.99,V,+6.51,+4.42,1.48,B-V= +0.59,100,-0.004364805402450088,0.59,5952.29
29,Bonner Durchmusterung -8°38,76.4,23.4,1.31,IV-V,+6.46,+4.61,1.25,B-V= +0.68,80,0.11727129565576426,0.68,5692.5
30,Zeta Tucanae,28.03,8.593,1.108,V,+4.23,+4.56,1.312,B-V= +0.58,40,0.044539760392410976,0.58,5983.01
34,Cordoba Durchmusterung -27°101,73.0,22.0,0.77,V,+8.32,+6.56,0.2,B-V= +0.90,80,-0.11350927482751812,0.9,5161.34
35,9 Ceti,66.5,20.4,1.07,V,+6.39,+4.84,1.01,B-V= +0.66,80,0.029383777685209663,0.66,5747.77
37,Cordoba Durchmusterung -27°108,58.7,18.0,0.82,V,+7.93,+6.66,0.19,B-V= +0.95,60,-0.08618614761628333,0.95,5057.17
39,Beta Hydri,24.38,7.475,1.66,IV,+2.82,+3.45,3.624,B-V= +0.62,40,0.22010808804005508,0.62,5862.44
40,Kappa Phoenicis,76.7,23.5,1.69,V,+3.93,+2.08,12.9,B-V= +0.17,80,0.22788670461367352,0.17,7720.72
47,54 Piscis,36.23,11.11,1.015,V,+5.88,+5.65,0.479,B-V= +0.85,40,0.00646604224923168,0.85,5271.04
