star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Sol,0,0,1,V,-26.72,+4.85,1,"B-V= +0.65, U-B= +0.10"
Alpha and Proxima Centauri,4.395,1.347,1.227,V,+0.01,+4.36,1.567,"B-V= +0.64, U-B= +0.23, R-I= +0.22"
Barnard's Star,5.941,1.821,0.197,V,+9.54,+13.24,0.000441,"B-V= +1.74, U-B= +1.29, R-I= +1.25"
Wolf 359,7.797,2.391,0.13,V,+13.45,+16.56,0.0000207,"B-V= +2.00, U-B= +1.21, R-I= +1.84"
Lalande 21185,8.312,2.548,0.393,V,+7.50,+10.46,0.00568,"B-V= +1.51, U-B= +1.12, R-I= +0.92"
Sirius,8.601,2.637,2.03,V,-1.43,+1.46,22.61,"B-V= +0.00, U-B= -0.04, R-I= -0.11"
UV Ceti,8.554,2.623,0.15,V,+12.57,+15.48,0.0000561,
Eggen/Greenstein white dwarf 406,43.4,13.3,,wd,+14.90,+14.28,0.00017,B-V= +0.46
Bonner Durchmusterung +33°4828,120,37,2.1,V,+6.11,+3.28,4.2,B-V= +0.62
Bonner Durchmusterung +22°4950,83.5,25.6,,V,+7.85,+5.81,0.41,B-V= +0.74
Cordoba Durchmusterung -37°15492,14.22,4.361,0.48,V,+8.56,+10.36,0.00625,B-V= +1.46
Bonner Durchmusterung +44°4548,37.5,11.5,,V,+9.95,+9.65,0.012,B-V= +1.49
Cape Photographic Durchmusterung -68°3597,52.2,16.0,0.7,V,+8.49,+7.47,0.090,B-V= +1.06
Bonner Durchmusterung +28°4704,44.7,13.7,1.06,V,+6.10,+5.42,0.59,B-V= +0.75
Giclas 158-27,15.3,4.70,0.11,V,+13.75,+15.39,0.000061,B-V= +1.98
Cordoba Durchmusterung -24°8,106,32.5,0.78,V,+8.69,+6.13,0.31,B-V= +0.80
Bonner Durchmusterung +35°8,108,33.0,1.5,IV,+6.17,+3.57,3.24,B-V= +0.49
Beta Cassiopeiae,54.46,16.70,3.589,III-IV,+2.27 (increasing to +2.22),+1.15 (increasing to +1.10),30.07 (increasing to  31.49),B-V= +0.34
Epsilon Phoenicis,140,43.0,12.9,III,+3.88,+0.71,45.3,B-V= +1.03
6 Ceti,61.6,18.9,1.50,V,+4.89,+3.51,3.43,B-V= +0.49
Cape Photographic Durchmusterung -59°8,192,58.8,0.77,V?,+8.34,+4.50,1.39,B-V= +0.62
Theta Sculptoris,71.1,21.8,1.02,V,+5.24,+3.55,3.32,B-V= +0.44
Eggen/Greenstein white dwarf 381,36.0,11.0,,wd,+14.36,+14.15,0.00019,B-V= +0.42
